ka
1,9
13,11
30,8
42,8
54,14
71,18
93,8
105,8
117,8
129,11
143,11


kha
1,12
16,17
36,12
52,12
67,17
88,21
113,11
128,11
142,12
158,15
176,15


ga
1,9
13,14
30,8
42,8
54,14
71,19
93,9
105,9
117,9
129,11
144,10


gha
1,17
21,21
45,16
64,17
84,22
109,26
138,17
158,16
177,17
197,22
222,21


gna
1,11
15,15
33,11
47,11
61,11
76,14
93,11
107,11
121,11
135,14
153,14


cha
1,11
16,16
34,12
49,11
63,17
83,21
107,11
121,11
135,12
149,15
166,14


ccha
2,11
16,16
34,12
49,11
63,17
83,21
107,11
121,11
135,11
149,15
166,14



ja
2,10
15,15
33,11
48,10
62,12
78,15
96,11
110,11
124,12
139,14
156,14


jja

2,19
24,24
51,20
74,20
97,25
125,30
158,19
181,19
203,20
226,26
255,24



inya

2,13
18,18
39,14
56,14
72,17
92,20
115,15
133,15
151,15
169,17
189,17




ta
2,10
15,16
34,10
48,11
62,17
82,20
106,10
120,11
134,11
148,15
166,14



tta
2,8
13,14
30,8
42,8
54,14
71,19
93,9
105,9
117,9
129,11
144,10



da
2,10
15,16
34,11
48,11
62,16
81,21
105,11
119,11
133,11
147,12
163,12


dha
2,10
16,15
34,11
48,11
62,16
81,21
105,11
119,11
133,11
147,12
163,12


ana
2,10
15,16
34,11
48,11
62,16
82,20
105,12
120,11
133,12
148,14
166,14



tha
2,10
15,16
34,11
48,11
62,17
82,22
107,11
121,11
135,11
150,12
166,13


tta
2,10
15,16
34,11
48,11
62,16
82,20
106,10
120,10
133,12
148,12
163,12


da
2,10
15,16
34,11
48,11
62,16
82,20
106,10
120,10
133,12
148,12
163,12



dha
2,10
15,16
34,11
48,11
62,16
82,20
106,10
120,10
133,12
148,12
163,12



na
2,10
15,16
34,11
48,11
62,16
82,20
106,10
120,11
134,11
148,12
163,12


pa
2,11
16,15
34,11
48,11
62,17
82,20
105,11
119,11
133,12
147,15
165,14


pha
2,11
16,15
34,11
48,11
62,17
82,20
105,11
119,11
133,12
147,15
165,14


ba
2,10
16,15
34,11
49,11
63,16
83,20
107,10
122,9
135,11
149,15
168,14



bha
2,10
16,15
34,11
49,11
63,16
83,20
107,10
121,10
135,11
149,13
166,13



ma
2,15
21,21
45,16
65,16
84,22
109,26
138,17
158,16
177,17
197,22
222,21


ya
2,19
24,24
51,20
74,24
102,25
130,29
163,19
185,20
208,20
231,26
260,25



ra
2,8
13,14
30,8
42,8
54,14
71,19
93,9
105,9
117,9
129,11
144,10



rra
2,10
16,17
35,11
49,12
64,17
84,21
108,13
124,12
139,13
155,16
174,16


la
2,10
15,16
34,10
48,9
60,16
80,20
103,12
118,12
133,12
148,15
167,15


ala
2,10
14,15
32,10
45,10
58,16
77,20
100,11
114,10
127,11
141,13
158,13


va
2,10
16,15
34,11
48,11
62,16
81,20
105,10
119,11
133,11
147,13
163,13


sha
2,8
13,14
30,9
42,9
55,15
74,20
97,9
109,9
121,9
133,12
148,12



ssha
2,12
17,14
34,12
48,12
62,18
83,21
107,12
121,12
135,12
150,14
167,14


sa
2,11
17,14
34,11
48,11
62,17
82,21
106,11
120,11
134,12
148,15
166,14


ha
2,15
20,16
39,15
57,16
76,22
101,27
131,16
150,15
168,16
187,18
208,18


